"","x"
"194","KANGER:DOPEY:C_GRAZED:2007"
"195","KANGER:DOPEY:B_GRAZED:2008"
"196","KANGER:DOPEY:C_GRAZED:2008"
"197","KANGER:DOPEY:A_GRAZED:2009"
"198","KANGER:DOPEY:B_GRAZED:2009"
"199","KANGER:DOPEY:C_GRAZED:2009"
"200","KANGER:DOPEY:B_GRAZED:2010"
"201","KANGER:DOPEY:C_GRAZED:2010"
"202","KANGER:DOPEY:B_GRAZED:2011"
"203","KANGER:DOPEY:C_GRAZED:2011"
"204","KANGER:DOPEY:B_GRAZED:2012"
"205","KANGER:DOPEY:C_GRAZED:2012"
"206","KANGER:DOPEY:B_GRAZED:2013"
"207","KANGER:DOPEY:C_GRAZED:2013"
"208","KANGER:DOPEY:B_GRAZED:2014"
"209","KANGER:DOPEY:C_GRAZED:2014"
"210","KANGER:DOPEY:C_GRAZED:2015"
"211","KANGER:SNEEZY:B_GRAZED:2003"
"212","KANGER:SNEEZY:C_GRAZED:2003"
"213","KANGER:SNEEZY:D_GRAZED:2003"
"214","KANGER:SNEEZY:A_GRAZED:2004"
"215","KANGER:SNEEZY:B_GRAZED:2004"
"216","KANGER:SNEEZY:C_GRAZED:2004"
"217","KANGER:SNEEZY:D_GRAZED:2004"
"218","KANGER:SNEEZY:E_GRAZED:2004"
"219","KANGER:SNEEZY:F_GRAZED:2004"
"220","KANGER:SNEEZY:G_GRAZED:2004"
"221","KANGER:SNEEZY:A_GRAZED:2005"
"222","KANGER:SNEEZY:B_GRAZED:2005"
"223","KANGER:SNEEZY:C_GRAZED:2005"
"224","KANGER:SNEEZY:D_GRAZED:2005"
"225","KANGER:SNEEZY:E_GRAZED:2005"
"226","KANGER:SNEEZY:F_GRAZED:2005"
"227","KANGER:SNEEZY:A_GRAZED:2006"
"228","KANGER:SNEEZY:C_GRAZED:2006"
"229","KANGER:SNEEZY:D_GRAZED:2006"
"230","KANGER:SNEEZY:E_GRAZED:2006"
"231","KANGER:SNEEZY:F_GRAZED:2006"
"232","KANGER:SNEEZY:G_GRAZED:2006"
"233","KANGER:SNEEZY:A_GRAZED:2007"
"234","KANGER:SNEEZY:C_GRAZED:2007"
"235","KANGER:SNEEZY:D_GRAZED:2007"
"236","KANGER:SNEEZY:E_GRAZED:2007"
"237","KANGER:SNEEZY:F_GRAZED:2007"
"238","KANGER:SNEEZY:G_GRAZED:2007"
"239","KANGER:SNEEZY:A_GRAZED:2008"
"240","KANGER:SNEEZY:B_GRAZED:2008"
"241","KANGER:SNEEZY:C_GRAZED:2008"
"242","KANGER:SNEEZY:D_GRAZED:2008"
"243","KANGER:SNEEZY:E_GRAZED:2008"
"244","KANGER:SNEEZY:F_GRAZED:2008"
"245","KANGER:SNEEZY:G_GRAZED:2008"
"246","KANGER:SNEEZY:A_GRAZED:2009"
"247","KANGER:SNEEZY:B_GRAZED:2009"
"248","KANGER:SNEEZY:C_GRAZED:2009"
"249","KANGER:SNEEZY:D_GRAZED:2009"
"250","KANGER:SNEEZY:E_GRAZED:2009"
"251","KANGER:SNEEZY:F_GRAZED:2009"
"252","KANGER:SNEEZY:G_GRAZED:2009"
"253","KANGER:SNEEZY:A_GRAZED:2010"
"254","KANGER:SNEEZY:B_GRAZED:2010"
"255","KANGER:SNEEZY:C_GRAZED:2010"
"256","KANGER:SNEEZY:D_GRAZED:2010"
"257","KANGER:SNEEZY:E_GRAZED:2010"
"258","KANGER:SNEEZY:F_GRAZED:2010"
"259","KANGER:SNEEZY:G_GRAZED:2010"
"260","KANGER:SNEEZY:A_GRAZED:2011"
"261","KANGER:SNEEZY:B_GRAZED:2011"
"262","KANGER:SNEEZY:C_GRAZED:2011"
"263","KANGER:SNEEZY:D_GRAZED:2011"
"264","KANGER:SNEEZY:E_GRAZED:2011"
"265","KANGER:SNEEZY:F_GRAZED:2011"
"266","KANGER:SNEEZY:G_GRAZED:2011"
"267","KANGER:SNEEZY:A_GRAZED:2012"
"268","KANGER:SNEEZY:B_GRAZED:2012"
"269","KANGER:SNEEZY:C_GRAZED:2012"
"270","KANGER:SNEEZY:D_GRAZED:2012"
"271","KANGER:SNEEZY:E_GRAZED:2012"
"272","KANGER:SNEEZY:F_GRAZED:2012"
"273","KANGER:SNEEZY:G_GRAZED:2012"
"274","KANGER:SNEEZY:A_GRAZED:2013"
"275","KANGER:SNEEZY:B_GRAZED:2013"
"276","KANGER:SNEEZY:C_GRAZED:2013"
"277","KANGER:SNEEZY:D_GRAZED:2013"
"278","KANGER:SNEEZY:E_GRAZED:2013"
"279","KANGER:SNEEZY:F_GRAZED:2013"
"280","KANGER:SNEEZY:A_GRAZED:2014"
"281","KANGER:SNEEZY:B_GRAZED:2014"
"282","KANGER:SNEEZY:C_GRAZED:2014"
"283","KANGER:SNEEZY:D_GRAZED:2014"
"284","KANGER:SNEEZY:E_GRAZED:2014"
"285","KANGER:SNEEZY:F_GRAZED:2014"
"286","KANGER:SNEEZY:A_GRAZED:2015"
"287","KANGER:SNEEZY:B_GRAZED:2015"
"288","KANGER:SNEEZY:E_GRAZED:2015"
"289","KANGER:SNEEZY:F_GRAZED:2015"
"290","KANGER:SNEEZY:B_GRAZED:2016"
"291","KANGER:SNEEZY:C_GRAZED:2016"
"292","KANGER:SNEEZY:E_GRAZED:2016"
"293","KANGER:SNEEZY:A_GRAZED:2017"
"294","KANGER:SNEEZY:E_GRAZED:2017"
"295","KANGER:SNEEZY:G_GRAZED:2017"
"296","SADVENT:MES_POINTFRAME:DEUA:2003"
"297","ZACKENBERG:CASSIOPE_SITE:C2_CONT:2009"
