"","SiteSubsiteYear","X","Y","TimePoint","SiteSubsite"
"102","ENDALEN:DRY-H:End",-0.167224031337835,0.11743618659422,"End","ENDALEN:DRY-H"
"103","ENDALEN:DRY-L:Begin",-0.146379084165425,0.161500318548148,"Start","ENDALEN:DRY-L"
"104","ENDALEN:DRY-L:End",-0.190539317478227,0.151272507181233,"End","ENDALEN:DRY-L"
"105","FURI:FURI4:Begin",0.470093960255427,-0.181505109093725,"Start","FURI:FURI4"
"106","FURI:FURI4:End",0.447692102445532,-0.172908690918803,"End","FURI:FURI4"
"107","FURI:FURI5:Begin",0.461925233231225,-0.177803154594279,"Start","FURI:FURI5"
"108","FURI:FURI5:End",0.470093960255427,-0.181505109093725,"End","FURI:FURI5"
"109","FURI:FURI6:Begin",0.467404680991767,-0.17171410243948,"Start","FURI:FURI6"
"110","FURI:FURI6:End",0.467404680991767,-0.17171410243948,"End","FURI:FURI6"
"111","KANGER:DOPEY:Begin",0.0798786240413118,0.0195373028356712,"Start","KANGER:DOPEY"
"112","KANGER:DOPEY:End",0.0729340262825248,0.0198757328377642,"End","KANGER:DOPEY"
"113","KANGER:SNEEZY:Begin",0.087675512615966,0.0190301152827695,"Start","KANGER:SNEEZY"
"114","KANGER:SNEEZY:End",0.0798786240413117,0.0195373028356712,"End","KANGER:SNEEZY"
"115","KILPISJARVI:KILPISJARVI:Begin",0.436010358315275,-0.0838069436742125,"Start","KILPISJARVI:KILPISJARVI"
"116","KILPISJARVI:KILPISJARVI:End",0.438670249669373,-0.0780708551746763,"End","KILPISJARVI:KILPISJARVI"
"117","LATNJA:DRY_HEATH:Begin",0.134796336789072,0.225753638039392,"Start","LATNJA:DRY_HEATH"
"118","LATNJA:DRY_HEATH:End",0.143002453893418,0.230019696829864,"End","LATNJA:DRY_HEATH"
"119","LATNJA:DRY_MEADOW:Begin",0.134261269426136,0.183339176280144,"Start","LATNJA:DRY_MEADOW"
"120","LATNJA:DRY_MEADOW:End",0.118867760236837,0.182067988502474,"End","LATNJA:DRY_MEADOW"
"121","LATNJA:POOR_HEATH:Begin",0.234149024172917,0.0939493686426548,"Start","LATNJA:POOR_HEATH"
"122","LATNJA:POOR_HEATH:End",0.244679874063811,0.108740873123817,"End","LATNJA:POOR_HEATH"
"123","LATNJA:RICH_MEADOW:Begin",0.140478666992954,0.209299565015154,"Start","LATNJA:RICH_MEADOW"
"124","LATNJA:RICH_MEADOW:End",0.133851367771236,0.23196963845268,"End","LATNJA:RICH_MEADOW"
"125","LATNJA:TUSSOCK_TUNDRA:Begin",0.200403530086433,-0.00106930581414047,"Start","LATNJA:TUSSOCK_TUNDRA"
"126","LATNJA:TUSSOCK_TUNDRA:End",0.2195523478834,0.0231881865240863,"End","LATNJA:TUSSOCK_TUNDRA"
"127","LATNJA:WET_MEADOW:Begin",-0.0951960125172285,-0.0619305382404682,"Start","LATNJA:WET_MEADOW"
"128","LATNJA:WET_MEADOW:End",-0.0756735782396027,-0.0675295705500275,"End","LATNJA:WET_MEADOW"
"129","LOGH:LOGH2:Begin",0.470887900358878,-0.161549583771617,"Start","LOGH:LOGH2"
"130","LOGH:LOGH2:End",0.43654058987099,-0.168094800275187,"End","LOGH:LOGH2"
"131","LOGH:LOGH4:Begin",0.417857789681678,-0.150450661855221,"Start","LOGH:LOGH4"
"132","LOGH:LOGH4:End",0.442111650992442,-0.179324911533033,"End","LOGH:LOGH4"
"133","LOGH:LOGH5:Begin",0.481959837079108,-0.145133265233037,"Start","LOGH:LOGH5"
"134","LOGH:LOGH5:End",0.461686112473805,-0.176466146725854,"End","LOGH:LOGH5"
"135","LORI:LORI1:Begin",0.460639467446901,-0.139479971249583,"Start","LORI:LORI1"
"136","LORI:LORI1:End",0.47644068792556,-0.161848529659637,"End","LORI:LORI1"
"137","LORI:LORI3:Begin",0.455918953621401,-0.100438149563105,"Start","LORI:LORI3"
"138","LORI:LORI3:End",0.498326105224876,-0.169241200332397,"End","LORI:LORI3"
"139","LORI:LORI4:Begin",0.461382078479147,-0.113007761761047,"Start","LORI:LORI4"
"140","LORI:LORI4:End",0.484158431631759,-0.125206536914109,"End","LORI:LORI4"
"141","QHI:HE:Begin",-0.15314156359279,0.00327616594382223,"Start","QHI:HE"
"142","QHI:HE:End",-0.151958576707299,-0.000779069985494872,"End","QHI:HE"
"143","QHI:KO:Begin",-0.164731299869915,0.0760976503150597,"Start","QHI:KO"
"144","QHI:KO:End",-0.136166768208805,0.103800862799778,"End","QHI:KO"
"145","RIRI:RIRI2:Begin",0.312569210171666,-0.0336886083800064,"Start","RIRI:RIRI2"
"146","RIRI:RIRI2:End",0.343177712715026,-0.076492321747188,"End","RIRI:RIRI2"
"147","RIRI:RIRI4:Begin",0.344935128186656,-0.0695500046644933,"Start","RIRI:RIRI4"
"148","RIRI:RIRI4:End",0.400104929377788,-0.0854800333880269,"End","RIRI:RIRI4"
"149","RIRI:RIRI6:Begin",0.266561100460344,-0.0864523482081093,"Start","RIRI:RIRI6"
"150","RIRI:RIRI6:End",0.250338789711717,-0.0759568324481325,"End","RIRI:RIRI6"
"151","SADVENT:MES_POINTFRAME:Begin",-0.128604779953242,0.0777696661449552,"Start","SADVENT:MES_POINTFRAME"
"152","SADVENT:MES_POINTFRAME:End",-0.109970886167066,0.10500868682856,"End","SADVENT:MES_POINTFRAME"
"153","THINGVELLIR:MOSS HEATH:Begin",0.0333698849619182,0.0374737502133556,"Start","THINGVELLIR:MOSS HEATH"
"154","THINGVELLIR:MOSS HEATH:End",0.0303792913465989,0.0367522090690104,"End","THINGVELLIR:MOSS HEATH"
"155","THUFUVER:PALSA:Begin",0.0183262477381499,0.164267478442592,"Start","THUFUVER:PALSA"
"156","THUFUVER:PALSA:End",-0.0158829153208306,0.103176047474864,"End","THUFUVER:PALSA"
"157","THUFUVER:SALIXHEATH:Begin",0.0199474531069071,0.196444657181681,"Start","THUFUVER:SALIXHEATH"
"158","THUFUVER:SALIXHEATH:End",0.0199474531069071,0.196444657181681,"End","THUFUVER:SALIXHEATH"
"159","TOOLIK:DRY:Begin",0.0948557175859251,0.0474022025455698,"Start","TOOLIK:DRY"
"160","TOOLIK:DRY:End",0.130056164342464,0.0449569665352673,"End","TOOLIK:DRY"
"161","TOOLIK:IMNAVAIT:Begin",-0.0132974587324885,0.0277969959467681,"Start","TOOLIK:IMNAVAIT"
"162","TOOLIK:IMNAVAIT:End",-0.0407798742001294,-0.00338153006052862,"End","TOOLIK:IMNAVAIT"
"163","TOOLIK:MOIST:Begin",0.19445271599133,0.0557887796915041,"Start","TOOLIK:MOIST"
"164","TOOLIK:MOIST:End",0.139525061744989,0.0403400812957627,"End","TOOLIK:MOIST"
"165","TOOLIK:TUSSOCKGRID:Begin",-0.0453190304148045,0.0379463638134784,"Start","TOOLIK:TUSSOCKGRID"
"166","TOOLIK:TUSSOCKGRID:End",-0.0269237341004537,0.00822086140594651,"End","TOOLIK:TUSSOCKGRID"
"167","WOLFCREEK:WOLFCREEK:Begin",-0.0659564573921475,0.183796839624278,"Start","WOLFCREEK:WOLFCREEK"
"168","WOLFCREEK:WOLFCREEK:End",-0.0923754871968013,0.19449313279831,"End","WOLFCREEK:WOLFCREEK"
"169","ZACKENBERG:ABRASION PLATEAU:Begin",-0.0297966148128972,0.0346261486580547,"Start","ZACKENBERG:ABRASION PLATEAU"
"170","ZACKENBERG:ABRASION PLATEAU:End",-0.0886638570057975,0.125300067551668,"End","ZACKENBERG:ABRASION PLATEAU"
"171","ZACKENBERG:CASSIOPE TETRAGONA HEATH:Begin",-0.142659683643897,0.202000298551276,"Start","ZACKENBERG:CASSIOPE TETRAGONA HEATH"
"172","ZACKENBERG:CASSIOPE TETRAGONA HEATH:End",-0.201962313290549,0.156797101770198,"End","ZACKENBERG:CASSIOPE TETRAGONA HEATH"
"173","ZACKENBERG:FEN:Begin",-0.136066583351027,0.125304410384428,"Start","ZACKENBERG:FEN"
"174","ZACKENBERG:FEN:End",-0.179526710871461,0.0442913777049901,"End","ZACKENBERG:FEN"
"175","ZACKENBERG:GRASSLAND:Begin",-0.191503314126795,0.0933075902894692,"Start","ZACKENBERG:GRASSLAND"
"176","ZACKENBERG:GRASSLAND:End",-0.191503314126795,0.0933075902894692,"End","ZACKENBERG:GRASSLAND"
"177","ZACKENBERG:SALIX ARCTICA SNOWBED:Begin",-0.251963783605121,0.117078226645221,"Start","ZACKENBERG:SALIX ARCTICA SNOWBED"
"178","ZACKENBERG:SALIX ARCTICA SNOWBED:End",-0.252877481211783,0.106808014768525,"End","ZACKENBERG:SALIX ARCTICA SNOWBED"
"179","ZACKENBERG:VACCINIUM ULIGONOSUM HEATH:Begin",-0.106117913199686,0.237947300775514,"Start","ZACKENBERG:VACCINIUM ULIGONOSUM HEATH"
"180","ZACKENBERG:VACCINIUM ULIGONOSUM HEATH:End",-0.106117913199686,0.237947300775514,"End","ZACKENBERG:VACCINIUM ULIGONOSUM HEATH"
