"","SPECIES_NAME","TimesInTrend","PropInTrend","FuncGroup"
"144","Festuca vivipara",3,37.5,"Graminoid"
"145","Cerastium arcticum",3,37.5,"Forb"
"146","XXXPOA:SADVENT",3,100,"Graminoid"
"147","Pedicularis dasyantha",3,75,"Forb"
"148","Valeriana capitata",3,75,"Forb"
"149","Rhododendron lapponicum",3,10,"Shrub"
"150","Saxifraga cespitosa",3,100,"Forb"
"151","Draba nivalis",3,42.8571428571429,"Forb"
"152","Cochlearia officinalis",3,23.0769230769231,"Forb"
"153","Cardamine bellidifolia",3,60,"Forb"
"154","Carex membranacea",3,23.0769230769231,"Graminoid"
"155","Carex atrofusca",3,42.8571428571429,"Graminoid"
"156","Festuca baffinensis",3,50,"Graminoid"
"157","Lagotis glauca",2,50,"Forb"
"158","Antennaria friesiana",2,33.3333333333333,"Forb"
"159","Tephroseris atropurpurea",2,100,"Forb"
"160","Arctostaphylos rubra",2,18.1818181818182,"Shrub"
"161","Diphasiastrum complanatum",2,100,"Forb"
"162","XXXCarex:SWEDEN",2,100,"Graminoid"
"163","XXXTaraxacum:SWEDEN",2,22.2222222222222,"Forb"
"164","Androsace chamaejasme",2,100,"Forb"
"165","Salix myrsinites",2,40,"Shrub"
"166","Pinguicula vulgaris",2,5.55555555555556,"Forb"
"167","Pedicularis flammea",2,20,"Forb"
"168","XXXMinuartia:THUFUVER",2,50,"Forb"
"169","Saxifraga nivalis",2,66.6666666666667,"Forb"
"170","Linnaea borealis",2,33.3333333333333,"Shrub"
"171","Equisetum arvense",2,15.3846153846154,"Forb"
"172","Trisetum spicatum",2,6.25,"Graminoid"
"173","Arctous alpina",2,18.1818181818182,"Shrub"
"174","Astragalus frigidus",2,50,"Forb"
"175","Ledum decumbens",2,1.45985401459854,"Shrub"
"176","XXXUNKDIC:TOOLIK",2,66.6666666666667,"Forb"
"177","Salix fuscescens",2,50,"Shrub"
"178","Cardamine hyperborea",2,100,"Forb"
"179","Eutrema edwardsii",2,25,"Forb"
"180","Lupinus arcticus",2,12.5,"Forb"
"181","Gentiana propinqua",2,100,"Forb"
"182","XXXGRAMINOID:BARROW",2,100,"Graminoid"
"183","Festuca rubra",2,11.1111111111111,"Graminoid"
"184","Avenella flexuosa",2,50,"Graminoid"
"185","Agrostis vinealis",2,100,"Graminoid"
"186","Epilobium palustre",1,100,"Forb"
"187","Carex chordorrhiza",1,50,"Graminoid"
"188","Packera hyperborealis",1,100,"Forb"
"189","Kobresia sibirica",1,100,"Graminoid"
"190","Artemisia glomerata",1,50,"Forb"
"191","Artemisia borealis",1,100,"Forb"
"192","Arnica lessingii",1,50,"Forb"
"193","Papaver macounii",1,100,"Forb"
"194","Betula pubescens",1,25,"Shrub"
"195","Phleum alpinum",1,33.3333333333333,"Graminoid"
"196","Antennaria dioica",1,100,"Forb"
"197","Gentiana nivalis",1,33.3333333333333,"Forb"
"198","Ranunculus acris",1,14.2857142857143,"Forb"
"199","Veronica alpina",1,25,"Forb"
"200","Potentilla robbinsiana",1,100,"Forb"
"201","Stellaria monantha",1,50,"Forb"
"202","Leymus mollis",1,100,"Graminoid"
"203","Salix hastata",1,20,"Shrub"
"204","Arabis petraea",1,100,"Forb"
"205","XXXSagina:THUFUVER",1,50,"Forb"
"206","Lysimachia europaea",1,33.3333333333333,"Forb"
"207","Orthilia secunda",1,100,"Forb"
"208","Luzula parviflora",1,100,"Graminoid"
"209","Salix lanata",1,3.2258064516129,"Shrub"
"210","Carex fuliginosa",1,50,"Graminoid"
"211","Pyrola rotundifolia",1,100,"Forb"
"212","Saxifraga aizoides",1,100,"Forb"
"213","Saussurea alpina",1,11.1111111111111,"Forb"
"214","Cerastium cerastoides",1,100,"Forb"
"215","Parnassia palustris",1,50,"Forb"
"216","Pseudorchis albida",1,100,"Forb"
"217","Chamorchis alpina",1,33.3333333333333,"Forb"
"218","Harrimanella hypnoides",1,50,"Shrub"
"219","Antennaria alpina",1,20,"Forb"
"220","Trollius europaeus",1,50,"Forb"
"221","XXXCarex microchaeta&rupestris:WOLFCREEK",1,33.3333333333333,"Graminoid"
"222","Potentilla uniflora",1,100,"Forb"
"223","Saxifraga tricuspidata",1,50,"Forb"
"224","XXXFORB:KANGER",1,100,"Forb"
"225","Pinguicula villosa",1,20,"Forb"
"226","Arenaria pseudofrigida",1,100,"Forb"
"227","XXXDryas:ZACKENBERG",1,16.6666666666667,"Shrub"
"228","Arnica alpina",1,100,"Forb"
"229","Salix chamissonis",1,16.6666666666667,"Shrub"
"230","XXXUNKGRA:TOOLIK",1,16.6666666666667,"Graminoid"
"231","XXXArnica:TOOLIK",1,33.3333333333333,"Forb"
"232","XXXTofieldia:TOOLIK",1,25,"Forb"
"233","Arnica frigida",1,33.3333333333333,"Forb"
"234","XXXCOMP:ANWR",1,100,"Forb"
"235","Carex krausei",1,100,"Graminoid"
"236","Hedysarum alpinum",1,12.5,"Forb"
"237","XXXSenecio:ANWR",1,100,"Forb"
"238","Salix planifolia",1,4,"Shrub"
"239","XXXLuzula:ANWR",1,20,"Graminoid"
"240","XXXSEDGE:ANWR",1,100,"Graminoid"
"241","Potentilla fruticosa",1,50,"Forb"
"242","Anemone parviflora",1,16.6666666666667,"Forb"
"243","Salix arbusculoides",1,100,"Shrub"
"244","Saxifraga flagellaris",1,50,"Forb"
"245","Poa tolmatchewii",1,100,"Graminoid"
"246","Papaver lapponicum",1,25,"Forb"
"247","Draba micropetala",1,25,"Forb"
"248","Ledum palustre",1,1.08695652173913,"Shrub"
"249","Coptidium pallasii",1,33.3333333333333,"Forb"
"250","Draba lactea",1,14.2857142857143,"Forb"
"251","Chrysosplenium tetrandrum",1,50,"Forb"
"252","Braya purpurascens",1,100,"Forb"
"253","XXXDraba:ENDALEN",1,50,"Forb"
"254","Saxifraga nelsoniana",1,50,"Forb"
"255","XXXcarex:QHI",1,50,"Graminoid"
"256","XXXotherforb:QHI",1,50,"Forb"
"257","Cardamine digitata",1,16.6666666666667,"Forb"
"258","Persicaria bistorta",1,5.26315789473684,"Forb"
"259","Oxytropis campestris",1,50,"Forb"
"260","Astragalus umbellatus",1,6.25,"Forb"
"261","XXXkobresia:QHI",1,50,"Graminoid"
"262","XXXothergram:QHI",1,14.2857142857143,"Graminoid"
