"","SiteSubsitePlot","ShrubChange","GramChange","ForbChange","ShrubTrend","GramTrend","ForbTrend"
"71","ALEXFIORD:DOMEDOLOMITE:Dom.c.5d",11.6666666666667,NA,-11.6666666666667,"Increase",NA,"Decrease"
"72","ALEXFIORD:DOMEGRANITE:Dom.c.1g",16.6666666666667,NA,-16.6666666666667,"Increase",NA,"Decrease"
"73","ALEXFIORD:DOMEGRANITE:Dom.c.2g",0,NA,NA,"Stable",NA,NA
"74","ALEXFIORD:DOMEGRANITE:Dom.c.3g",37.5,-12.5,-25,"Increase","Decrease","Decrease"
"75","ALEXFIORD:DOMEGRANITE:Dom.c.4g",50,NA,-50,"Increase",NA,"Decrease"
"76","ALEXFIORD:DOMEGRANITE:Dom.c.5g",16.6666666666667,-11.1111111111111,-5.55555555555556,"Increase","Decrease","Decrease"
"77","ALEXFIORD:DRYAS:Dry.c.1",-18.5714285714286,22.1428571428571,-3.57142857142857,"Decrease","Increase","Decrease"
"78","ALEXFIORD:DRYAS:Dry.c.10",-20.4545454545455,24.8863636363636,-4.43181818181818,"Decrease","Increase","Decrease"
"79","ALEXFIORD:DRYAS:Dry.c.2",-8.46774193548387,5.99078341013825,2.47695852534562,"Decrease","Increase","Increase"
"80","ALEXFIORD:DRYAS:Dry.c.3",-0.462249614791972,-1.95172059578839,2.41397021058038,"Decrease","Decrease","Increase"
"81","ALEXFIORD:DRYAS:Dry.c.4",-9.29635336414997,7.24191063174114,2.05444273240883,"Decrease","Increase","Increase"
"82","ALEXFIORD:DRYAS:Dry.c.5",-17.2346259302781,18.096357226792,-0.861731296513906,"Decrease","Increase","Decrease"
"83","ALEXFIORD:DRYAS:Dry.c.6",-12.139689578714,10.7538802660754,1.38580931263858,"Decrease","Increase","Increase"
"84","ALEXFIORD:DRYAS:Dry.c.7",1.26262626262627,0.168350168350166,-1.43097643097643,"Increase","Increase","Decrease"
"85","ALEXFIORD:DRYAS:Dry.c.8",-20.1550387596899,28.0038759689923,-7.84883720930233,"Decrease","Increase","Decrease"
"86","ALEXFIORD:DRYAS:Dry.c.9",-34.8232848232848,38.6694386694387,-3.84615384615385,"Decrease","Increase","Decrease"
"87","ALEXFIORD:FERT:Fert.c.c.13",-7.2219760744351,9.0607000443066,-1.83872396987151,"Decrease","Increase","Decrease"
"88","ALEXFIORD:FERT:Fert.c.c.21",7.70706747681484,-6.20402942117045,-1.50303805564439,"Increase","Decrease","Decrease"
"89","ALEXFIORD:FERT:Fert.c.c.29",11.7666021921341,-12.0889748549323,0.322372662798195,"Increase","Decrease","Increase"
"90","ALEXFIORD:FERT:Fert.c.c.37",-6.82556879739978,5.7854821235103,1.04008667388949,"Decrease","Increase","Increase"
