"","SiteSubsiteYear","X","Y","TimePoint","SiteSubsite"
"101","ENDALEN:DRY-H:Begin",-0.136463562155852,-0.111091212146546,"Start","ENDALEN:DRY-H"
"102","ENDALEN:DRY-H:End",-0.130141605854939,-0.114659922293795,"End","ENDALEN:DRY-H"
"103","ENDALEN:DRY-L:Begin",-0.0877015633759148,-0.152679831571415,"Start","ENDALEN:DRY-L"
"104","ENDALEN:DRY-L:End",-0.124210112262825,-0.142239255321933,"End","ENDALEN:DRY-L"
"105","FURI:FURI4:Begin",0.442239652937043,0.161048816764238,"Start","FURI:FURI4"
"106","FURI:FURI4:End",0.447247624349845,0.161262951015924,"End","FURI:FURI4"
"107","FURI:FURI5:Begin",0.417801552135509,0.151462447573268,"Start","FURI:FURI5"
"108","FURI:FURI5:End",0.439223308157551,0.160157186045058,"End","FURI:FURI5"
"109","FURI:FURI6:Begin",0.450922877890727,0.16126944346624,"Start","FURI:FURI6"
"110","FURI:FURI6:End",0.455000313272922,0.162637727751484,"End","FURI:FURI6"
"111","KANGER:DOPEY:Begin",0.210044433057136,0.0621711201039486,"Start","KANGER:DOPEY"
"112","KANGER:DOPEY:End",0.209724497316629,0.0572451822483466,"End","KANGER:DOPEY"
"113","KANGER:SNEEZY:Begin",0.18795999561108,0.0545879702767647,"Start","KANGER:SNEEZY"
"114","KANGER:SNEEZY:End",0.178523085389617,0.0533715371268168,"End","KANGER:SNEEZY"
"115","KILPISJARVI:KILPISJARVI:Begin",0.291576487797254,-0.0141445463409045,"Start","KILPISJARVI:KILPISJARVI"
"116","KILPISJARVI:KILPISJARVI:End",0.358799148260076,-0.0295067456991845,"End","KILPISJARVI:KILPISJARVI"
"117","LATNJA:DRY_HEATH:Begin",0.125045164283369,-0.234340655412563,"Start","LATNJA:DRY_HEATH"
"118","LATNJA:DRY_HEATH:End",0.196318566442364,-0.19813176282894,"End","LATNJA:DRY_HEATH"
"119","LATNJA:DRY_MEADOW:Begin",0.136848800372001,-0.198523874544489,"Start","LATNJA:DRY_MEADOW"
"120","LATNJA:DRY_MEADOW:End",0.154650425930161,-0.204322880236458,"End","LATNJA:DRY_MEADOW"
"121","LATNJA:POOR_HEATH:Begin",0.343454184442193,-0.0354998662629746,"Start","LATNJA:POOR_HEATH"
"122","LATNJA:POOR_HEATH:End",0.368869224016163,-0.0346300879535321,"End","LATNJA:POOR_HEATH"
"123","LATNJA:RICH_MEADOW:Begin",0.101093883037989,-0.202357776727941,"Start","LATNJA:RICH_MEADOW"
"124","LATNJA:RICH_MEADOW:End",0.122540201031545,-0.235590338812697,"End","LATNJA:RICH_MEADOW"
