FID,MA_tmp,MA_prp,Tundra
218,-26.1184998,44.9166985,OtherBiomes
219,-21.4342003,50.5833015,OtherBiomes
220,-18.9981003,9.5833302,Tundra
221,-18.3526001,14.25,Tundra
222,-20.780899,41.5833015,OtherBiomes
223,-24.9783001,19.75,OtherBiomes
224,-13.4497004,20.1667004,Tundra
225,-22.1562996,17.1667004,OtherBiomes
226,-20.5848999,16.75,OtherBiomes
227,-26.5548,42.3333015,OtherBiomes
228,-16.2402992,20.25,Tundra
229,-23.3715992,51.6666985,OtherBiomes
230,-25.8153,47.5,OtherBiomes
231,-23.5046997,18.0832996,OtherBiomes
232,-26.1238995,21.4167004,OtherBiomes
233,-18.5132999,15.4167004,Tundra
234,-9999,-9999,OtherBiomes
235,-24.4398994,20,OtherBiomes
236,-19.7518005,6.3333302,Tundra
237,-12.2625999,11.8332996,Tundra
238,-18.0333004,15.5,Tundra
239,-21.0762997,17.9167004,Tundra
240,-4.6693702,31.8332996,Tundra
241,-18.5762997,12,Tundra
242,-3.7131701,42.5,Tundra
243,-18.5137005,8.25,Tundra
244,-20.8176994,14.8332996,OtherBiomes
245,-14.6402998,12.5,Tundra
246,-19.1121006,17,Tundra
247,-24.0435009,20.1667004,OtherBiomes
248,-20.8626003,51.25,OtherBiomes
249,-18.8563004,8.3333302,Tundra
250,-15.0160999,19.4167004,Tundra
251,-19.8673992,6.0833302,Tundra
252,-18.3621998,8.5,Tundra
253,-18.4831009,8.5833302,Tundra
254,-13.8467999,26.25,OtherBiomes
255,-21.5650005,45.4166985,OtherBiomes
256,-25.9514008,20.75,OtherBiomes
257,-16.8871002,14.1667004,OtherBiomes
258,-19.2556,7.8333302,Tundra
259,-16.7490005,14.75,Tundra
260,-24.6856003,48.5833015,OtherBiomes
261,-26.9171009,39.3333015,OtherBiomes
262,-4.4894199,47.75,Tundra
263,-19.7131004,6.4166698,Tundra
264,-18.7945004,14.3332996,Tundra
265,-22.2887001,49.6666985,OtherBiomes
266,-22.2907009,53.4166985,OtherBiomes
267,-26.8882999,38.9166985,OtherBiomes
268,-22.2628002,19.25,OtherBiomes
269,-19.1653996,9.5,Tundra
270,-17.7996998,15.5832996,OtherBiomes
271,-26.0727997,44,OtherBiomes
272,-9999,-9999,Tundra
273,-24.5280991,64.6667023,OtherBiomes
274,-16.0510006,12.1667004,Tundra
275,-11.3476,23.8332996,Tundra
276,-16.7595005,20.0832996,Tundra
277,-16.4799004,14.3332996,OtherBiomes
278,-15.3310003,21.5832996,Tundra
279,-11.4024,19.5,Tundra
280,-16.2313995,19.0832996,Tundra
281,-20.6019993,57,OtherBiomes
282,-18.5291004,6.3333302,Tundra
283,-25.8255005,64.6667023,OtherBiomes
284,-18.6944008,6.5,Tundra
285,-10.7439003,16.0832996,OtherBiomes
286,-27.0496998,44.6666985,OtherBiomes
287,-12.9035997,20.0832996,Tundra
288,-25.6592999,58.75,OtherBiomes
289,-24.7357998,23.5832996,OtherBiomes
290,-17.2269001,8.1666698,Tundra
291,-27.2745991,45.75,OtherBiomes
292,-15.2525997,20.5832996,Tundra
293,-26.2936993,47.0833015,OtherBiomes
294,-14.9757996,23.6667004,Tundra
295,-18.4972992,10.5832996,Tundra
296,-11.9667997,27.8332996,Tundra
297,-16.7127991,17.4167004,Tundra
298,-18.9584999,10.4167004,Tundra
299,-17.5877991,8.4166698,Tundra
300,-15.7862997,12,Tundra
301,-15.2296,17.1667004,OtherBiomes
302,-17.9449997,13.6667004,Tundra
303,-21.9536991,57.6666985,OtherBiomes
304,-25.9013004,59.75,OtherBiomes
305,-15.6044998,21.8332996,Tundra
306,-15.8219004,11.75,Tundra
307,-17.6713009,13.5832996,Tundra
308,-27.2366009,53,OtherBiomes
309,-14.9646997,18.5,Tundra
310,-24.9545994,55.1666985,OtherBiomes
311,-16.2625999,17.9167004,OtherBiomes
312,-24.4972,27.6667004,OtherBiomes
313,-11.2985001,19.25,Tundra
314,-16.0098,10.9167004,Tundra
315,-10.2278004,24.8332996,Tundra
316,-13.1219997,17.4167004,OtherBiomes
317,-15.3162003,21.4167004,Tundra
318,-18.1284008,7.4166698,Tundra
319,-17.3999996,8.6666698,Tundra
320,-17.7775002,7.0833302,Tundra
321,-18.2332001,6.3333302,Tundra
322,-24.6718006,22.9167004,OtherBiomes
323,-27.2404995,43.25,OtherBiomes
324,-15.5437002,15.8332996,Tundra
325,-23.3838005,22.25,OtherBiomes
326,-17.6956997,8.5833302,Tundra
327,-26.8952007,36.8333015,OtherBiomes
328,-24.4757996,63.5,OtherBiomes
329,-18.5086002,6.4166698,Tundra
330,-24.8852005,67,OtherBiomes
331,-15.7438002,19.1667004,Tundra
332,-24.5482998,57.5833015,OtherBiomes
333,-18.8957996,6.4166698,Tundra
334,-17.0396004,20.9167004,Tundra
335,-13.8130999,22.25,Tundra
336,-20.1903992,58.0833015,OtherBiomes
337,-15.7462997,15.3332996,OtherBiomes
338,-13.0092001,14.25,OtherBiomes
339,-22.3267994,60.9166985,OtherBiomes
340,-18.3600998,8,Tundra
341,-14.2487001,17.8332996,OtherBiomes
342,-25.2637005,33.9166985,OtherBiomes
343,-11.6812,34.0833015,Tundra
344,-21.0287991,22.75,Tundra
345,-17.7584,6.6666698,Tundra
346,-14.8746004,20.3332996,Tundra
347,-14.9785995,19.3332996,Tundra
348,-25.2129993,68.8332977,OtherBiomes
349,-27.0436001,62.8333015,OtherBiomes
350,-21.4447994,57.4166985,OtherBiomes
351,-14.6702995,22.8332996,Tundra
352,-18.0575008,16.6667004,Tundra
353,-14.9502001,21.75,Tundra
354,-15.4117002,17.75,OtherBiomes
355,-10.9983997,27.25,Tundra
356,-15.3122997,9.4166698,Tundra
357,-15.4576998,20.1667004,Tundra
358,-15.4406004,18.8332996,Tundra
359,-14.6400003,24,Tundra
360,-18.6973,60.5,OtherBiomes
361,-15.6977997,11.9167004,Tundra
362,-17.8932991,56.5,OtherBiomes
363,-18.0846996,14.25,Tundra
364,-26.4029999,66.6667023,OtherBiomes
365,-26.7681007,66.5832977,OtherBiomes
366,-22.8104992,64.4167023,OtherBiomes
367,-15.1147003,23.3332996,Tundra
368,-10.3739996,27.1667004,Tundra
369,-25.3966007,67.8332977,OtherBiomes
370,-13.5304003,43.75,Tundra
371,-25.7670994,38.8333015,OtherBiomes
372,-11.8708,37.1666985,Tundra
373,-15.3097,9,Tundra
374,-13.9096003,22.25,Tundra
375,-15.1164999,22,Tundra
376,-11.8446999,36.75,Tundra
377,-17.8927002,16.3332996,Tundra
378,-13.0798998,37.25,Tundra
379,-26.8712997,62.5833015,OtherBiomes
380,-14.9238997,20.0832996,Tundra
381,-11.7526999,31.4167004,Tundra
382,-17.7374992,7.0833302,Tundra
383,-12.5303001,29.6667004,Tundra
384,-15.6726999,17.1667004,Tundra
385,-26.6086006,48.4166985,OtherBiomes
386,-14.9062004,19.9167004,Tundra
387,-11.0036001,20.5832996,Tundra
388,-14.8402004,24.5,Tundra
389,-26.7558002,44.0833015,OtherBiomes
390,-11.8889999,30.25,Tundra
391,-14.1702003,21.75,Tundra
392,-15.7292004,17.9167004,OtherBiomes
393,-15.1878004,19.0832996,Tundra
394,-11.6861,30.0832996,Tundra
395,-27.0711994,48.0833015,OtherBiomes
396,-18.3330994,10,Tundra
397,-12.7854004,35.3333015,Tundra
398,-14.3747997,22.75,Tundra
399,-15.8563995,19.5832996,Tundra
400,-17.9871998,16.9167004,OtherBiomes
401,-17.4992008,9.5,Tundra
402,-15.4582005,23.8332996,Tundra
403,-14.8326998,21.9167004,Tundra
404,-26.3204994,44.0833015,OtherBiomes
405,-13.8633003,43.5,Tundra
406,-26.6931992,69.1667023,OtherBiomes
407,-12.9807997,45.3333015,OtherBiomes
408,-18.9454002,18.8332996,Tundra
409,-26.5401993,62.3333015,OtherBiomes
410,-13.5864,9,Tundra
