"","SiteSubsitePlot","duration","richness","richness_change","Jaccard","BrayCurtis","richness_change_abs"
"476","THUFUVER:PALSA:PALSA3_3",23,15,3,0.333333333333333,0.313192904656319,3
"477","THUFUVER:PALSA:PALSA3_6",23,11,-2,0.666666666666667,0.717171717171717,2
"478","THUFUVER:PALSA:PALSA3_8",23,11,3,0.5,0.376756066411239,3
"479","THUFUVER:SALIXHEATH:SALIXHEATH2_3",23,6,-3,0,0.531468531468532,3
"480","THUFUVER:SALIXHEATH:SALIXHEATH2_2",23,8,-1,0,0.634245187436677,1
"481","THUFUVER:SALIXHEATH:SALIXHEATH2_20",23,10,0,0.8,0.605263157894737,0
"482","THUFUVER:SALIXHEATH:SALIXHEATH2_7",23,7,-2,0,0.244360902255639,2
"483","THUFUVER:SALIXHEATH:SALIXHEATH2_4",23,8,-2,0.333333333333333,0.48731884057971,2
"484","THUFUVER:SALIXHEATH:SALIXHEATH3_9",23,7,-1,0,0.414667817083693,1
"485","THUFUVER:SALIXHEATH:SALIXHEATH3_12",23,4,-1,0,0.260910815939279,1
"486","THUFUVER:SALIXHEATH:SALIXHEATH3_20",23,7,-2,0,0.125109745390694,2
"487","THUFUVER:SALIXHEATH:SALIXHEATH1_4",23,6,-2,0.5,0.829268292682927,2
"488","THUFUVER:SALIXHEATH:SALIXHEATH2_8",23,8,0,0.25,0.560227272727273,0
"489","THUFUVER:SALIXHEATH:SALIXHEATH1_19",23,9,-1,0.75,0.813333333333333,1
"490","THUFUVER:SALIXHEATH:SALIXHEATH2_18",23,7,-1,0.666666666666667,0.7,1
"491","THUFUVER:SALIXHEATH:SALIXHEATH3_8",23,7,-2,0,0.685714285714286,2
"492","THUFUVER:SALIXHEATH:SALIXHEATH2_19",23,7,2,0,0.402737047898338,2
"493","THUFUVER:SALIXHEATH:SALIXHEATH3_7",23,6,0,0.333333333333333,0.6716594402838,0
"494","THUFUVER:SALIXHEATH:SALIXHEATH2_11",23,7,2,0,0.491121872477805,2
"495","THUFUVER:SALIXHEATH:SALIXHEATH2_5",23,9,0,0.444444444444444,0.742786769880366,0
"496","THUFUVER:SALIXHEATH:SALIXHEATH2_6",23,8,1,0.285714285714286,0.371794871794872,1
