"","SiteSubsitePlot","FuncGroup","FGSlope"
"131","ALEXFIORD:MEADOW:Mead.c.8","DwarfShrubCoverNew",-0.00200329547649767
"132","ALEXFIORD:MEADOW:Mead.c.8","NonDwarfShrubCoverNew",0.0597560996400995
"133","ALEXFIORD:MEADOW:Mead.c.9","DwarfShrubCoverNew",0.1711433428183
"134","ALEXFIORD:MEADOW:Mead.c.9","NonDwarfShrubCoverNew",-0.195390317522263
"135","ALEXFIORD:WILLOW:Will.c.1","DwarfShrubCoverNew",-0.0252643903941845
"136","ALEXFIORD:WILLOW:Will.c.1","NonDwarfShrubCoverNew",1.40354962104979
"137","ALEXFIORD:WILLOW:Will.c.10","DwarfShrubCoverNew",0.308236508685906
"138","ALEXFIORD:WILLOW:Will.c.10","NonDwarfShrubCoverNew",0.496925696637414
"139","ALEXFIORD:WILLOW:Will.c.2","DwarfShrubCoverNew",-0.802450787206334
"140","ALEXFIORD:WILLOW:Will.c.2","NonDwarfShrubCoverNew",1.20415492719022
"141","ALEXFIORD:WILLOW:Will.c.3","DwarfShrubCoverNew",-0.466726309297585
"142","ALEXFIORD:WILLOW:Will.c.3","NonDwarfShrubCoverNew",0.573778775722057
"143","ALEXFIORD:WILLOW:Will.c.4","DwarfShrubCoverNew",0.643453434547255
"144","ALEXFIORD:WILLOW:Will.c.4","NonDwarfShrubCoverNew",0.380676584708769
"145","ALEXFIORD:WILLOW:Will.c.5","DwarfShrubCoverNew",0.28966672330299
"146","ALEXFIORD:WILLOW:Will.c.5","NonDwarfShrubCoverNew",1.45242892884606
"147","ALEXFIORD:WILLOW:Will.c.6","DwarfShrubCoverNew",-0.5884589864579
"148","ALEXFIORD:WILLOW:Will.c.6","NonDwarfShrubCoverNew",0.754710531369784
"149","ALEXFIORD:WILLOW:Will.c.7","DwarfShrubCoverNew",0.0833614874790185
"150","ALEXFIORD:WILLOW:Will.c.7","NonDwarfShrubCoverNew",0.412357142461513
"151","ALEXFIORD:WILLOW:Will.c.8","DwarfShrubCoverNew",-1.68935150151399
"152","ALEXFIORD:WILLOW:Will.c.8","NonDwarfShrubCoverNew",1.35307290873253
"153","ALEXFIORD:WILLOW:Will.c.9","DwarfShrubCoverNew",-0.0107451352613584
"154","ALEXFIORD:WILLOW:Will.c.9","NonDwarfShrubCoverNew",1.6226147913196
"155","ANWR:ATIGUN-A:1","DwarfShrubCoverNew",-0.41666666666672
"156","ANWR:ATIGUN-A:10","DwarfShrubCoverNew",0.272988505747134
"157","ANWR:ATIGUN-A:2","DwarfShrubCoverNew",0.098684210526332
"158","ANWR:ATIGUN-A:3","DwarfShrubCoverNew",-0.444444444444407
"159","ANWR:ATIGUN-A:4","DwarfShrubCoverNew",1.41176470588239
"160","ANWR:ATIGUN-A:6","DwarfShrubCoverNew",0.256410256410281
"161","ANWR:ATIGUN-A:7","DwarfShrubCoverNew",0.7407407407408
"162","ANWR:ATIGUN-A:8","DwarfShrubCoverNew",-0.173758865248291
"163","ANWR:ATIGUN-A:8","NonDwarfShrubCoverNew",-0.241134751773056
"164","ANWR:ATIGUN-B:1","DwarfShrubCoverNew",-0.434782608695674
"165","ANWR:ATIGUN-B:1","NonDwarfShrubCoverNew",0.319693094629228
"166","ANWR:ATIGUN-B:2","DwarfShrubCoverNew",-1.66935483870984
"167","ANWR:ATIGUN-B:2","NonDwarfShrubCoverNew",-1.86526984091647e-14
"168","ANWR:ATIGUN-B:3","DwarfShrubCoverNew",-0.23809523809521
"169","ANWR:ATIGUN-B:3","NonDwarfShrubCoverNew",-0.416666666666688
"170","ANWR:ATIGUN-B:4","NonDwarfShrubCoverNew",1.86379928315427
"171","ANWR:ATIGUN-B:5","NonDwarfShrubCoverNew",0.652492668621826
"172","ANWR:ATIGUN-B:6","NonDwarfShrubCoverNew",1.66666666666675
"173","ANWR:ATIGUN-B:7","DwarfShrubCoverNew",-0.729323308270796
"174","ANWR:ATIGUN-B:7","NonDwarfShrubCoverNew",0.436090225563798
"175","ANWR:ATIGUN-B:8","DwarfShrubCoverNew",-1.25000000000009
"176","ANWR:ATIGUN-B:8","NonDwarfShrubCoverNew",1.87500000000014
"177","ANWR:ATIGUN-C:1","DwarfShrubCoverNew",-0.0647908182153942
"178","ANWR:ATIGUN-C:1","NonDwarfShrubCoverNew",0.314698259903763
"179","ANWR:ATIGUN-C:10","DwarfShrubCoverNew",0.720720720720788
"180","ANWR:ATIGUN-C:10","NonDwarfShrubCoverNew",1.66666666666677
"181","ANWR:ATIGUN-C:2","DwarfShrubCoverNew",2.67455858748016
"182","ANWR:ATIGUN-C:2","NonDwarfShrubCoverNew",0.308988764044905
"183","ANWR:ATIGUN-C:3","DwarfShrubCoverNew",-0.84651162790709
"184","ANWR:ATIGUN-C:3","NonDwarfShrubCoverNew",-0.390697674418583
"185","ANWR:ATIGUN-C:4","DwarfShrubCoverNew",1.06318681318692
"186","ANWR:ATIGUN-C:4","NonDwarfShrubCoverNew",0.579670329670368
"187","ANWR:ATIGUN-C:5","DwarfShrubCoverNew",-0.736769283984806
"188","ANWR:ATIGUN-C:5","NonDwarfShrubCoverNew",0.598408855067449
"189","ANWR:ATIGUN-C:6","DwarfShrubCoverNew",1.39610389610407
"190","ANWR:ATIGUN-C:6","NonDwarfShrubCoverNew",-0.357142857142865
"191","ANWR:ATIGUN-C:7","DwarfShrubCoverNew",0.416666666666698
"192","ANWR:ATIGUN-C:7","NonDwarfShrubCoverNew",-0.306372549019617
"193","ANWR:ATIGUN-C:8","DwarfShrubCoverNew",-0.301724137930967
"194","ANWR:ATIGUN-C:8","NonDwarfShrubCoverNew",1.71336206896571
"195","ANWR:ATIGUN-C:9","DwarfShrubCoverNew",0.32894736842102
"196","ANWR:ATIGUN-C:9","NonDwarfShrubCoverNew",-0.0939849624060066
"197","ANWR:JAGO-A:1","DwarfShrubCoverNew",-0.32246322618423
"198","ANWR:JAGO-A:1","NonDwarfShrubCoverNew",0.207162567275121
"199","ANWR:JAGO-A:10","DwarfShrubCoverNew",-0.0696843342369806
"200","ANWR:JAGO-A:10","NonDwarfShrubCoverNew",0.402046426810259
"201","ANWR:JAGO-A:2","DwarfShrubCoverNew",0.0660356814294304
"202","ANWR:JAGO-A:2","NonDwarfShrubCoverNew",-1.80860738352627
"203","ANWR:JAGO-A:3","DwarfShrubCoverNew",-0.539653562231123
"204","ANWR:JAGO-A:3","NonDwarfShrubCoverNew",-0.764917562546675
"205","ANWR:JAGO-A:4","DwarfShrubCoverNew",0.277709047411411
"206","ANWR:JAGO-A:4","NonDwarfShrubCoverNew",-1.56460941531667
"207","ANWR:JAGO-A:5","DwarfShrubCoverNew",-0.13774283497215
"208","ANWR:JAGO-A:5","NonDwarfShrubCoverNew",-0.557532272088264
"209","ANWR:JAGO-A:6","DwarfShrubCoverNew",-0.228274007115738
"210","ANWR:JAGO-A:6","NonDwarfShrubCoverNew",-0.228844287830039
"211","ANWR:JAGO-A:7","DwarfShrubCoverNew",0.189382756468786
"212","ANWR:JAGO-A:7","NonDwarfShrubCoverNew",0.589786498517086
"213","ANWR:JAGO-A:8","DwarfShrubCoverNew",0.062529289465958
"214","ANWR:JAGO-A:8","NonDwarfShrubCoverNew",-1.0449236823393
"215","ANWR:JAGO-A:9","DwarfShrubCoverNew",-0.410036578400535
"216","ANWR:JAGO-A:9","NonDwarfShrubCoverNew",1.11931120805945
"217","ANWR:JAGO-B:1","DwarfShrubCoverNew",0.16749821810409
"218","ANWR:JAGO-B:1","NonDwarfShrubCoverNew",-1.10833927298646
"219","ANWR:JAGO-B:10","DwarfShrubCoverNew",-0.459900611872561
"220","ANWR:JAGO-B:10","NonDwarfShrubCoverNew",-0.921727733173522
"221","ANWR:JAGO-B:2","DwarfShrubCoverNew",1.25087674068084
"222","ANWR:JAGO-B:2","NonDwarfShrubCoverNew",-0.560612305914175
"223","ANWR:JAGO-B:3","DwarfShrubCoverNew",0.0298265448811511
"224","ANWR:JAGO-B:3","NonDwarfShrubCoverNew",0.695208909781551
"225","ANWR:JAGO-B:4","DwarfShrubCoverNew",0.40595582495294
"226","ANWR:JAGO-B:4","NonDwarfShrubCoverNew",0.0578132892501568
"227","ANWR:JAGO-B:5","DwarfShrubCoverNew",0.27799423085868
"228","ANWR:JAGO-B:5","NonDwarfShrubCoverNew",0.292501702206428
"229","ANWR:JAGO-B:6","DwarfShrubCoverNew",0.121444159114057
"230","ANWR:JAGO-B:6","NonDwarfShrubCoverNew",-0.30766528689975
"231","ANWR:JAGO-B:7","DwarfShrubCoverNew",-1.76926204714731
"232","ANWR:JAGO-B:7","NonDwarfShrubCoverNew",0.437356817708509
"233","ANWR:JAGO-B:8","DwarfShrubCoverNew",-0.334333851691619
"234","ANWR:JAGO-B:8","NonDwarfShrubCoverNew",1.28720813388127
"235","ANWR:JAGO-B:9","DwarfShrubCoverNew",-0.125482885030794
"236","ANWR:JAGO-B:9","NonDwarfShrubCoverNew",-0.544655474788417
"237","ATQASUK:AD:ADC01","DwarfShrubCoverNew",1.1072345731574
"238","ATQASUK:AD:ADC01","NonDwarfShrubCoverNew",-1.20971508026397
"239","ATQASUK:AD:ADC02","DwarfShrubCoverNew",0.233852715183412
"240","ATQASUK:AD:ADC02","NonDwarfShrubCoverNew",-0.530520968951134
"241","ATQASUK:AD:ADC03","DwarfShrubCoverNew",0.686122551841057
"242","ATQASUK:AD:ADC03","NonDwarfShrubCoverNew",-1.44362977479524
"243","ATQASUK:AD:ADC04","DwarfShrubCoverNew",0.0969919761541203
"244","ATQASUK:AD:ADC04","NonDwarfShrubCoverNew",-2.02350215421105
"245","ATQASUK:AD:ADC05","DwarfShrubCoverNew",0.486291682314141
"246","ATQASUK:AD:ADC05","NonDwarfShrubCoverNew",-1.64154696431299
"247","ATQASUK:AD:ADC06","DwarfShrubCoverNew",0.635607681727726
"248","ATQASUK:AD:ADC06","NonDwarfShrubCoverNew",-0.159258851608787
"249","ATQASUK:AD:ADC07","DwarfShrubCoverNew",-0.181522679156477
"250","ATQASUK:AD:ADC07","NonDwarfShrubCoverNew",-0.534792682799379
"251","ATQASUK:AD:ADC08","DwarfShrubCoverNew",0.558468148589934
"252","ATQASUK:AD:ADC08","NonDwarfShrubCoverNew",-0.928912516311411
"253","ATQASUK:AD:ADC09","DwarfShrubCoverNew",-1.99388279087812
"254","ATQASUK:AD:ADC09","NonDwarfShrubCoverNew",1.15423167590713
"255","ATQASUK:AD:ADC10","DwarfShrubCoverNew",0.196827387583923
"256","ATQASUK:AD:ADC10","NonDwarfShrubCoverNew",0.124262975572921
"257","ATQASUK:AD:ADC11","DwarfShrubCoverNew",0.333914133958685
"258","ATQASUK:AD:ADC11","NonDwarfShrubCoverNew",-1.21369222776519
"259","ATQASUK:AD:ADC12","DwarfShrubCoverNew",-0.954056785212043
"260","ATQASUK:AD:ADC12","NonDwarfShrubCoverNew",-0.0714058163091296
"261","ATQASUK:AD:ADC13","DwarfShrubCoverNew",0.775920011831177
"262","ATQASUK:AD:ADC13","NonDwarfShrubCoverNew",-0.91207454942797
"263","ATQASUK:AD:ADC14","DwarfShrubCoverNew",0.58948859827336
"264","ATQASUK:AD:ADC14","NonDwarfShrubCoverNew",-0.535772182917119
"265","ATQASUK:AD:ADC15","DwarfShrubCoverNew",0.100005736901778
"266","ATQASUK:AD:ADC15","NonDwarfShrubCoverNew",-0.534852328410158
"267","ATQASUK:AD:ADC16","DwarfShrubCoverNew",0.513327570428585
"268","ATQASUK:AD:ADC16","NonDwarfShrubCoverNew",-1.06506475466942
"269","ATQASUK:AD:ADC17","DwarfShrubCoverNew",0.412577432168358
"270","ATQASUK:AD:ADC17","NonDwarfShrubCoverNew",-1.04074884687663
"271","ATQASUK:AD:ADC18","DwarfShrubCoverNew",0.735437360517498
"272","ATQASUK:AD:ADC18","NonDwarfShrubCoverNew",-1.28259079821637
"273","ATQASUK:AD:ADC19","DwarfShrubCoverNew",0.725458312603642
"274","ATQASUK:AD:ADC19","NonDwarfShrubCoverNew",-0.13473106123803
"275","ATQASUK:AD:ADC20","DwarfShrubCoverNew",-0.236330240505624
"276","ATQASUK:AD:ADC20","NonDwarfShrubCoverNew",0.381710342101815
"277","ATQASUK:AD:ADC21","DwarfShrubCoverNew",-0.0216429580002305
"278","ATQASUK:AD:ADC21","NonDwarfShrubCoverNew",-0.0904728819274153
"279","ATQASUK:AD:ADC22","DwarfShrubCoverNew",-0.128057446915016
"280","ATQASUK:AD:ADC22","NonDwarfShrubCoverNew",0.0666678869666042
"281","ATQASUK:AD:ADC23","DwarfShrubCoverNew",1.4393095078374
"282","ATQASUK:AD:ADC23","NonDwarfShrubCoverNew",-1.85325928675276
"283","ATQASUK:AD:ADC24","DwarfShrubCoverNew",0.517119556938004
"284","ATQASUK:AD:ADC24","NonDwarfShrubCoverNew",-0.72211963707131
"285","ATQASUK:AG:AGCA02","DwarfShrubCoverNew",-0.891053391053391
"286","ATQASUK:AG:AGCA02","NonDwarfShrubCoverNew",-0.34992784992785
"287","ATQASUK:AG:AGCA03","DwarfShrubCoverNew",-1.29009158522343
"288","ATQASUK:AG:AGCA03","NonDwarfShrubCoverNew",-0.408845042719282
"289","ATQASUK:AG:AGCA04","DwarfShrubCoverNew",-2.23190951398455
"290","ATQASUK:AG:AGCA04","NonDwarfShrubCoverNew",0.242402687631961
"291","ATQASUK:AG:AGCA05","DwarfShrubCoverNew",0.679546260191422
"292","ATQASUK:AG:AGCA05","NonDwarfShrubCoverNew",-2.75696167631652
"293","ATQASUK:AG:AGCA06","DwarfShrubCoverNew",-0.0141256604446921
"294","ATQASUK:AG:AGCA06","NonDwarfShrubCoverNew",-2.07178568498595
"295","ATQASUK:AG:AGCA07","DwarfShrubCoverNew",-1.42563154628201
"296","ATQASUK:AG:AGCA07","NonDwarfShrubCoverNew",0.424926358830886
"297","ATQASUK:AG:AGCA09","DwarfShrubCoverNew",0.462651985940294
"298","ATQASUK:AG:AGCA09","NonDwarfShrubCoverNew",-2.17676596018468
"299","ATQASUK:AG:AGCA10","DwarfShrubCoverNew",0.0901569617474349
"300","ATQASUK:AG:AGCA10","NonDwarfShrubCoverNew",0.378976638676985
"301","ATQASUK:AG:AGCB02","DwarfShrubCoverNew",-0.875617858634565
"302","ATQASUK:AG:AGCB02","NonDwarfShrubCoverNew",-3.01322027076019
"303","ATQASUK:AG:AGCB03","DwarfShrubCoverNew",-1.40823782500649
